Section,Offense,Punishment
IPC_145,"Joining or continuing in an unlawful assembly, Knowing that it has been commanded to disperse",2 Years or Fine or Both
IPC_160,Committing affray,1 Month or Fine or Both
IPC_161,"Being or expecting to be a public servant, and taking A gratification other than Legal remuneration in respect of an official act",3 Years or Fine or Both
IPC_162,"Taking a gratification in order, by corrupt or illegal means, to influence a public servant",3 Years or Fine or Both
IPC_163,Taking a gratification for the exercise of personal influence with a public servant,Simple Imprisonment for 1 Year or Fine or Both
IPC_164,Abetment by public servant of the offences defined in the last two preceding clauses with reference to himself,3 Years or Fine or Both
IPC_165,"Public servant obtaining any valuable thing, without consideration, From a person concerned in any proceeding or business transacted by Such public servant",3 Years or Fine or Both
IPC_165A,Punishment for abetment of offences punishable under section 161 or section 165,3 Years or Fine or Both
IPC_166,Public servant disobeying a direction of the law with intent to cause injury to any person,Simple Imprisonment for 1 Year or Fine or Both
IPC_166A,Public servant disobeying direction under law,6 months to 2 years + Fine
IPC_166B," anyone overseeing a hospital, whether public or private, and breaching the provisions of Section 357C of the Code of Criminal Procedure.",1 Year or Fine or Both
IPC_146,Rioting,2 Years or Fine or Both
IPC_167,Public servant framing an incorrect document with intent to cause injury,3 Years or Fine or Both
IPC_168,Public servant unlawfully engaging in trade,Simple Imprisonment for 1 Year or Fine or Both
IPC_169,Public servant unlawfully buying or bidding for property,"Simple Imprisonment for 2 Years or Fine or Both and confiscation of property, if purchased"
IPC_170,Personating a Public servant,2 Years or Fine or Both
IPC_171,As described,3 Months or Fine or Both
IPC_171A,"""Candidate"", ""Electoral right"" defined",nan
IPC_171B,nan,nan
IPC_171C,nan,nan
IPC_171D,nan,nan
IPC_171E,Bribery,"1 Year or Fine or Both, or if treating only, fine only"
IPC_147,Rioting,2 Years or Fine or Both
IPC_171F,Undue influence at an election,1 Year or Fine or Both
IPC_171G,False statement in connection with an election,Fine
IPC_171H,Illegal payments in connection with elections,Fine
IPC_171I,Failure to keep election accounts,Fine
IPC_172,Absconding to avoid service of summons or other proceeding from a public servant,Simple Imprisonment for 1 Month or Fine or Both
IPC_173,"Preventing the service or The affixing of any summons of notice, or the removal of it when it has been affixed, or preventing a reclamation",Simple Imprisonment for 1 Month or Fine or Both
IPC_174,"Not obeying a legal order to attend at a certain place in person or by agent, or departing therefrom without authority",Simple Imprisonment for 1 Month or Fine or Both
IPC_174A,Failure to appear at specified place and specified time as required by a proclamation published under Sub-Section 1 of section 82 of this Code,3 Years or Fine or Both
IPC_175,Intentionally omitting to produce a document to a public servant by a person legally bound to produce deliver such document,Simple Imprisonment for 1 Month or Fine or Both
IPC_176,Intentionally omitting to Give notice or information to a public servant by a person legally bound to Give such notice or information,Simple Imprisonment for 1 Month or Fine or Both
IPC_148,Rioting armed with deadly Weapon,3 Years or Fine or Both
IPC_177,Knowingly furnishing false information to a public servant,6 Months or Fine or Both
IPC_178,Refusing oath when duly required to take oath by a public servant,Simple Imprisonment for 6 Months or Fine or Both
IPC_179,"Being legally bound to state truth, and refusing to answer questions",Simple Imprisonment for 6 Months or Fine or Both
IPC_180,Refusing to sign statement made to a public servant when legally required to do so,Simple Imprisonment for 3 Months or Fine or Both
IPC_181,"Knowingly stating to a public servant, on oath as True that which is false",3 Years + Fine
IPC_182,Giving false information to a public servant in order to cause him to use his lawful power to the injury or annoyance of any person,6 Months or Fine or Both
IPC_183,Resistance to the taking of property by the lawful authority of a public servant,6 Months or Fine or Both
IPC_184,Obstructing sale of property offered for sale by authority of a public servant,1 Month or Fine or Both
IPC_185,"Bidding, by a person under a legal incapacity to purchase it, for property at a lawfully authorized Sale, or bidding without intending to perform the obligations incurred thereby",1 Month or Fine or Both
IPC_186,Obstructing public servant in discharge of his public functions,3 Months or Fine or Both
IPC_149,"If an offence be committed by any member of an unlawful assembly, every other member of such assembly shall be guilty of the offence",Same As Offence
