Section,Offense,Punishment
IPC_407,"Criminal breach of trust by a carrier, wharfinger, etc.",7 Years + Fine
IPC_408,Criminal breach of trust by a clerk or servant,7 Years + Fine
IPC_409,"Criminal breach of trust by public servant or by banker, merchant or agent, etc.",Imprisonment for Life or 10 Years + Fine
IPC_410,nan,nan
IPC_411,Dishonestly receiving stolen property knowing it to be stolen,3 Years or Fine or Both
IPC_412,"Dishonestly receiving stolen property, knowing that it was obtained by Dacoity",Imprisonment for Life or Rigorous Imprisonment for 10 Years + Fine
IPC_413,Habitually dealing in stolen property,Imprisonment for Life or 10 Years + Fine
IPC_414,"Assisting in concealment or disposal of stolen property, knowing it to be stolen","3 Years, or Fine, or Both"
IPC_415,nan,nan
IPC_416,nan,nan
IPC_417,Cheating,1 Year or Fine or Both
IPC_418,"Cheating a person whose interest the offender was bound, either by law or by legal contract, to protect",3 Years or Fine or Both
IPC_419,Cheating by personation,3 Years or Fine or Both
IPC_420,"Cheating and there by dishonestly inducing delivery of property, or the making, alteration or destruction of a valuable security",7 Years + Fine
IPC_421,"Fraudulent removal or concealment of property etc., to prevent distribution among creditors",2 Years or Fine or Both
IPC_422,Fraudulently preventing from being made available for his creditors a debt or demand due to the offender,2 Years or Fine or Both
IPC_423,Fraudulent execution of deed of transfer containing a false statement of consideration,2 Years or Fine or Both
IPC_424,"Fraudulent removal or concealment of property of himself or any other person or assisting in the doing thereof, or dishonestly releasing any demand or claim to which he is entitled",2 Years or Fine or Both
IPC_425,nan,nan
IPC_426,Mischief,3 Months or Fine or Both
IPC_427,"Mischief, and thereby causing damage to the amount of 50 rupees or upwards",2 Years or Fine or Both
IPC_428,"Mischief by killing, poisoning, maiming or rendering useless any animal of the value of 10 rupees or upwards",2 Years or Fine or Both
IPC_429,"Mischief by killing poisoning maiming or rendering useless any elephant, camel, horse, etc., whatever may be its value or any other animal of the value of 50 rupees or upwards",5 Years or Fine or Both
IPC_430,"Mischief by causing diminution of supply of water for agricultural purposes, etc.",5 Years or Fine or Both
IPC_431,"Mischief by injury to public road, bridge, navigable river, or navigable channel and rendering it impassable or less safe for travelling or conveying property",5 Years or Fine or Both
IPC_432,Mischief by causing inundation or obstruction to public drainage attended with damage,5 Years or Fine or Both
IPC_433,"Mischief by destroying or moving or rendering less useful a lighthouse or sea-mark, or by exhibiting false lights",7 Years or Fine or Both
IPC_434,"Mischief by destroying or moving, etc., a landmark fixed by public authority",1 Year or Fine or Both
IPC_435,"Mischief by fire or explosive substance with intent to cause damage to an amount of 100 rupees or upwards, or, in case of agricultural produce, 10 rupees or upwards",7 Years + Fine
IPC_436,Mischief by fire or explosive substance with intent to destroy house etc.,"Imprisonment for Life, or 10 Years + Fine"
IPC_437,Mischief with intent to destroy or make unsafe A decked vessel or a vessel of 20 tones burden,10 Years + Fine
IPC_438,The mischief described in the last section when committed by fire or any explosive substance,Imprisonment for Life or 10 Years + Fine
IPC_439,"Running vessel ashore with intent to commit theft, etc.",10 Years + Fine
IPC_440,"Mischief committed after preparation made for causing death, or hurt, etc.",5 Years + Fine
IPC_441,nan,nan
IPC_442,nan,nan
IPC_443,nan,nan
IPC_444,nan,nan
IPC_445,nan,nan
IPC_446,nan,nan
IPC_447,Criminal trespass,3 Months or Fine or Both
IPC_448,House-trespass,1 Year or Fine or Both
IPC_449,House-trespass in order to the commission of an offence punishable with death,Imprisonment for Life or Rigorous Imprisonment for 10 Years + Fine
IPC_450,House-trespass in order to the commission of an Offence punishable with imprisonment for life,10 Years + Fine
IPC_451,House-trespass in order to the commission of an Offence punishable with imprisonment,2 Years + Fine
IPC_452,"House-trespass, having made preparation for causing hurt, assault, etc.",7 Years + Fine
IPC_453,Lurking house trespass or house-breaking,2 Years + Fine
IPC_454,Lurking house-trespass or house-breaking in order to the commission of an offence punishable with imprisonment,3 Years + Fine
IPC_455,"Lurking house-trespass or house-breaking after preparation made for causing hurt, assault, etc.",10 Years + Fine
IPC_456,Lurking house-trespass or house-breaking by night,3 Years + Fine
IPC_457,Lurking house-trespass or house-breaking by night in order to the commission of an offence punishable with imprisonment,5 Years + Fine
IPC_458,"Lurking house-trespass or house-breaking by night, after preparation made for causing hurt, etc.",14 Years + Fine
IPC_459,Grievous hurt caused whilst committing lurking house-trespass or house-breaking,Imprisonment for Life or 10 Years + Fine
IPC_460,"Death or grievous hurt caused by one of several persons jointly concerned in house-breaking by Night, etc.",Imprisonment for Life or 10 Years + Fine
IPC_461,Dishonestly breaking Open or unfastening any closed receptacle containing or supposed to contain property,2 Years or Fine or Both
IPC_462,"Being entrusted with any closed receptacle containing or supposed to contain any property, and fraudulently opening the same",3 Years or Fine or Both
IPC_463,nan,nan
IPC_464,nan,nan
IPC_465,Forgery,2 Years or Fine or Both
IPC_466,"Forgery of a record of a court of Justice or of a Registrar of Births, etc., kept by a public servant",7 Years + Fine
IPC_467,"Forgery of a valuable security, will or authority to make or transfer any valuable security, or to receive any money, etc.",Imprisonment for Life or 10 Years + Fine
IPC_468,Forgery for the purpose of cheating,7 Years + Fine
IPC_469,Forgery for the purpose of harming the reputation of any person or knowing that it is likely to be used for that purpose,3 Years + Fine
IPC_470,nan,nan
IPC_471,Using as genuine a forged document which is known to be forged,Same as for Forgery of such document
IPC_472,"Making or counterfeiting a seal, plate, etc., with intent to commit a forgery punishable under section 467 of the Indian Penal Code, or possessing with like intent any such seal, plate, etc. knowing the same to be counterfeit",Imprisonment for Life or 7 Years + Fine
IPC_473,"Making or counterfeiting a seal, plate, etc., with intent to commit a forgery punishable otherwise than under section 467 of the Indian Penal Code, or possessing with like intent any such seal plate, etc., knowing the same to be counterfeit",7 Years + Fine
IPC_474,"Having possession of a document, knowing it to be forged, with intent to use it as genuine; If the document is one of the description mentioned in section 466 of the Indian Penal Code",7 Years + Fine
IPC_475,"Counterfeiting a device or mark used for authenticating documents described in section 467 of the Indian Penal Code, or possessing counterfeit marked material",Imprisonment for Life or 7 Years + Fine
IPC_476,"Counterfeiting a device or mark used for authenticating documents other than those described in section 467 of the Indian Penal Code, or possessing counterfeit marked material",7 Years + Fine
IPC_477,"Fraudulently destroying or defacing, or attempting to destroy or deface, or secreting, a will, etc.",Imprisonment for Life or 7 Years + Fine
IPC_477A,Falsification of accounts,7 Years or Fine or Both
IPC_478,nan,nan
IPC_479,nan,nan
IPC_480,nan,nan
IPC_481,nan,nan
IPC_482,Using a false property mark with intent to deceive or injure any person,1 Year or Fine or Both
IPC_483,"Counterfeiting a property mark used by another, with intent to cause damage or injury",2 Years or Fine or Both
IPC_484,"Counterfeiting a property mark used by a public servant, or any mark used by him to denote the manufacture, quality, etc., of any property",3 Years + Fine
IPC_485,"Fraudulently making or having possession of any die, plate or other instrument for counterfeiting any public or private property mark",3 Years or Fine or Both
IPC_486,Knowingly selling goods marked with a counterfeit property mark,1 Year or Fine or Both
IPC_487,"Fraudulently marking a false mark upon any package or receptacle containing goods, with intent to cause it to be believed that it contains goods which it does not contain, etc.",3 Years or Fine or Both
IPC_488,Making use of any such false mark,3 Years or Fine or Both
IPC_489,Removing destroying or defacing property mark with intent to cause injury,1 Year or Fine or Both
IPC_489A,Counterfeiting currency-notes or bank-notes,Imprisonment for Life or 10 Years + Fine
IPC_489B,Using as genuine forged or counterfeit currency-notes or bank-notes,Imprisonment for Life or 10 Years + Fine
IPC_489C,Possession of forged or counterfeit currency-notes or bank-notes,7 Years or Fine or Both
IPC_489D,"Making or possessing machinery, instrument or material for forging or counterfeiting currency-notes or bank-notes",Imprisonment for Life or 10 Years + Fine
IPC_489E,Making or using documents resembling currency-notes or bank-notes,Fine
IPC_490,On refusal to disclose the name and address of the printer,Fine
IPC_491,"Being bound to attend on or supply the wants of a person who is helpless from youth, unsoundness of mind or disease, and voluntarily omitting to do so",3 Months or Fine or Both
IPC_492,nan,nan
IPC_493,A man by deceit causing a woman not lawfully married to him to believe that she is lawfully married to him and to cohabit with him in that belief,10 Years + Fine
IPC_494,Marrying again during the life-time of a husband or wife,7 Years + Fine
IPC_495,Same offence with concealment of the former marriage from the person with whom subsequent marriage is contracted,10 Years + Fine
IPC_496,A person with fraudulent intention going through the ceremony of being married knowing that he is not thereby lawfully married,7 Years + Fine
IPC_497,Adultery,5 Years or Fine or Both
IPC_498,Enticing or taking away or detaining with a criminal intent a married woman,2 Years and Fine
IPC_498A,Punishment for subjecting a married woman to Cruelty,3 Years + Fine
IPC_499,nan,nan
IPC_500,Defamation against the President or the Vice-president or the Governor of a State or Administrator of a Union Territory or a Minister in respect of his conduct in the discharge of his public functions when instituted upon a complaint made by the Public Prosecutor,Simple Imprisonment for 2 Years or Fine or Both
IPC_501,Printing or engraving matter knowing it to be defamatory against the President or the Vice-President or the Governor of a State or Administrator of a Union territory or a Minister in respect of his conduct in the discharge of his public functions when instituted upon a complaint made by the Public Prosecutor,Simple Imprisonment for 2 Years or Fine or Both
IPC_502,"Sale of printed or engraved substance containing defamatory matter, knowing it to contain such matter against the President or the Vice-President or the Governor of a State or Administrator of a Union territory or a Minister in respect of his conduct in the discharge of his public functions when instituted upon a complaint made by the Public Prosecutor",Simple Imprisonment for 2 Years or Fine or Both
IPC_503,nan,nan
IPC_504,Insult intended to provoke breach of the peace,2 Years or Fine or Both
IPC_505,"False statement, rumour, etc., circulated with intent to cause mutiny or offence against the public peace",3 Years or Fine or Both
IPC_506,Criminal intimidation,2 Years or Fine or Both
IPC_507,Criminal intimidation by Anonymous communication or having taken precaution to conceal whence the threat comes,As in Section 506 + 2 Years
IPC_508,Act caused by inducing a person to believe that he will be rendered an object of Divine displeasure,1 Year or Fine or Both
IPC_509,"Uttering any word or making any gesture intended to insult the modesty of a woman, etc.",Simple imprisonment for 3 years + Fine
IPC_510,"Appearing in a public Place, etc., in a State of intoxication, and causing annoyance to any person",Simple Imprisonment for 24 hours or Fine or Both
IPC_511,"Attempting to commit offences punishable with imprisonment for life, or imprisonment, and in such attempt doing any act towards the commission of the offence","Imprisonment for Life or Imprisonment not exceeding, half of the longest term provided for the Offence, or Fine, or Both"
